     Index  y_measurement      y_fitting   descriptor_1   descriptor_2   descriptor_3   descriptor_4
         1   -0.73000E-01   -0.52504E-01   -0.37146E+01    0.26245E+01    0.19039E+03   -0.47537E-03
         2   -0.12240E+00   -0.51680E-01   -0.37267E+01    0.26310E+01    0.19288E+03   -0.46509E-03
         3   -0.68400E-01   -0.50733E-01   -0.37407E+01    0.26385E+01    0.19580E+03   -0.45350E-03
         4   -0.60000E-01   -0.11806E+00   -0.28662E+01    0.21060E+01    0.67488E+02   -0.24172E-02
         5   -0.95500E-01   -0.12767E+00   -0.27554E+01    0.20271E+01    0.57642E+02   -0.30394E-02
         6   -0.55200E-01   -0.11266E+00   -0.29297E+01    0.21498E+01    0.73670E+02   -0.21241E-02
         7   -0.76900E-01   -0.10387E+00   -0.78081E+01    0.41103E+01    0.37169E+04   -0.85379E-06
         8   -0.10770E+01   -0.52841E+00    0.10840E+00   -0.44439E+01    0.13808E-03    0.87496E+03
         9   -0.36140E+00   -0.51284E+00    0.36800E-01   -0.66045E+01    0.18340E-05    0.20818E+05
        10   -0.11450E+00   -0.17360E+00   -0.22577E+01    0.16287E+01    0.25982E+02   -0.90886E-02
        11   -0.19680E+00   -0.17244E+00   -0.22697E+01    0.16393E+01    0.26538E+02   -0.88385E-02
        12   -0.84900E-01   -0.17053E+00   -0.22895E+01    0.16567E+01    0.27477E+02   -0.84423E-02
        13   -0.51090E+00   -0.51122E+00    0.21900E+01    0.15678E+01    0.23003E+02    0.85069E+00
        14   -0.24870E+00   -0.18058E+00   -0.21862E+01    0.15643E+01    0.22843E+02   -0.10752E-01
        15   -0.42970E+00   -0.19071E+00   -0.20841E+01    0.14687E+01    0.18866E+02   -0.13745E-01
        16   -0.20360E+00   -0.17817E+00   -0.22108E+01    0.15867E+01    0.23889E+02   -0.10144E-01
        17   -0.50170E+00   -0.57813E+00    0.32543E+01    0.23600E+01    0.11216E+03    0.75154E+00
        18   -0.37490E+00   -0.47740E+00   -0.18630E+00   -0.33608E+01    0.12046E-02   -0.12837E+03
        19   -0.74080E+00   -0.79325E+00   -0.26900E-01   -0.72313E+01    0.52361E-06   -0.50010E+05
        20   -0.33500E+00   -0.49734E+00   -0.14270E+00   -0.38940E+01    0.41466E-03   -0.29837E+03
        21   -0.45320E+00   -0.47054E+00    0.12163E+01    0.39163E+00    0.21886E+01    0.18755E+01
        22   -0.37710E+00   -0.47397E+00    0.13329E+01    0.57471E+00    0.31564E+01    0.16013E+01
        23   -0.29730E+00   -0.24014E+00   -0.16145E+01    0.95805E+00    0.67944E+01   -0.47284E-01
        24   -0.17380E+00   -0.27104E+00   -0.13452E+01    0.59309E+00    0.32745E+01   -0.10701E+00
        25   -0.24740E+00   -0.28408E+00   -0.12375E+01    0.42619E+00    0.23452E+01   -0.15308E+00
        26   -0.15630E+00   -0.27110E+00   -0.13447E+01    0.59234E+00    0.32697E+01   -0.10718E+00
        27   -0.13960E+00   -0.19261E+00   -0.20651E+01    0.14504E+01    0.18187E+02   -0.14398E-01
        28   -0.24600E+00   -0.20425E+00   -0.19507E+01    0.13364E+01    0.14480E+02   -0.19154E-01
        29   -0.11410E+00   -0.18934E+00   -0.20978E+01    0.14818E+01    0.19367E+02   -0.13294E-01
        30   -0.22910E+00   -0.23645E+00   -0.16479E+01    0.99900E+00    0.73743E+01   -0.43006E-01
        31   -0.31450E+00   -0.24571E+00   -0.15645E+01    0.89513E+00    0.59910E+01   -0.54629E-01
        32   -0.17230E+00   -0.23661E+00   -0.16464E+01    0.99718E+00    0.73475E+01   -0.43189E-01
        33   -0.26870E+00   -0.26417E+00   -0.14034E+01    0.67780E+00    0.38791E+01   -0.88913E-01
        34   -0.57740E+00   -0.51649E+00    0.22877E+01    0.16551E+01    0.27390E+02    0.82288E+00
        35   -0.50810E+00   -0.48413E+00    0.16137E+01    0.95706E+00    0.67810E+01    0.11950E+01
        36   -0.39760E+00   -0.48935E+00    0.17382E+01    0.11057E+01    0.91285E+01    0.10829E+01
        37   -0.33830E+00   -0.40732E+00   -0.43470E+00   -0.16662E+01    0.35707E-01   -0.78821E+01
        38   -0.64700E+00   -0.48446E+00    0.16217E+01    0.96695E+00    0.69164E+01    0.11868E+01
        39   -0.43320E+00   -0.46722E+00    0.10771E+01    0.14854E+00    0.13459E+01    0.23497E+01
        40   -0.39430E+00   -0.46827E+00    0.11255E+01    0.23645E+00    0.16047E+01    0.21615E+01
        41   -0.68740E+00   -0.48711E+00    0.28270E+00   -0.25267E+01    0.63871E-02    0.58722E+02
        42   -0.41800E+00   -0.50977E+00    0.16500E+00   -0.36036E+01    0.74120E-03    0.26255E+03
        43   -0.49870E+00   -0.53195E+00    0.25574E+01    0.18780E+01    0.42775E+02    0.77138E+00
        44   -0.46700E-01    0.24992E-02   -0.66282E+01    0.37827E+01    0.19301E+04   -0.45417E-05
        45   -0.63130E+00   -0.49336E+00    0.18283E+01    0.12068E+01    0.11174E+02    0.10183E+01
