     Index  y_measurement      y_fitting   descriptor_1   descriptor_2   descriptor_3   descriptor_4
         1   -0.73000E-01   -0.78173E-01   -0.15091E+02    0.29927E-01    0.59990E+00    0.10159E+01
         2   -0.12240E+00   -0.11066E+00   -0.13276E+02    0.23423E-01    0.61200E+00    0.10192E+01
         3   -0.68400E-01   -0.45537E-01   -0.17020E+02    0.15923E-01    0.62600E+00    0.10231E+01
         4   -0.60000E-01   -0.13989E+00   -0.16638E+02    0.27428E+00    0.16734E+01    0.10995E+01
         5   -0.55200E-01   -0.94588E-01   -0.18765E+02    0.23011E+00    0.16099E+01    0.11238E+01
         6   -0.76900E-01   -0.85483E-01   -0.24945E+02    0.45129E-01    0.23087E+01    0.34197E+00
         7   -0.10770E+01   -0.10687E+01   -0.00000E+00    0.19305E+02    0.17840E+00   -0.22255E+01
         8   -0.36140E+00   -0.49075E+00   -0.67734E+01    0.64193E+01    0.25000E+00   -0.75554E+00
         9   -0.11450E+00   -0.16193E+00   -0.13373E+02    0.66143E-01    0.92020E+00    0.58550E+00
        10   -0.19680E+00   -0.18873E+00   -0.11764E+02    0.55536E-01    0.90820E+00    0.58861E+00
        11   -0.84900E-01   -0.12800E+00   -0.15082E+02    0.38160E-01    0.88840E+00    0.59374E+00
        12   -0.51090E+00   -0.50996E+00   -0.73620E+01    0.46570E-01    0.36806E+01    0.27243E+00
        13   -0.24870E+00   -0.28721E+00   -0.15342E+02    0.19931E+00    0.27845E+01    0.50491E+00
        14   -0.42970E+00   -0.33217E+00   -0.13496E+02    0.29571E+00    0.28866E+01    0.48133E+00
        15   -0.20360E+00   -0.24975E+00   -0.17303E+02    0.17684E+00    0.27599E+01    0.51059E+00
        16   -0.50170E+00   -0.48417E+00   -0.34567E+01    0.80276E-01    0.24884E+01    0.25309E+00
        17   -0.37490E+00   -0.42447E+00   -0.12015E+02    0.27855E+01    0.24801E+01    0.44666E-01
        18   -0.74080E+00   -0.64981E+00   -0.00000E+00    0.71528E+01    0.10773E+01    0.26876E-01
        19   -0.33500E+00   -0.33502E+00   -0.72955E+01    0.64652E+00    0.11931E+01    0.14257E+00
        20   -0.45320E+00   -0.46401E+00   -0.00000E+00    0.21402E+00    0.13771E+01    0.16808E+00
        21   -0.29730E+00   -0.26429E+00   -0.15689E+02    0.16571E+00    0.24723E+01    0.35185E+00
        22   -0.17380E+00   -0.21016E+00   -0.13070E+02    0.19712E+00    0.11542E+01    0.25908E+00
        23   -0.24740E+00   -0.25268E+00   -0.11498E+02    0.36571E+00    0.12619E+01    0.23834E+00
        24   -0.15630E+00   -0.18086E+00   -0.14741E+02    0.19787E+00    0.11547E+01    0.25898E+00
        25   -0.13960E+00   -0.16663E+00   -0.15114E+02    0.25645E+00    0.22826E+01    0.18916E+01
        26   -0.24600E+00   -0.21768E+00   -0.13295E+02    0.37184E+00    0.23970E+01    0.17868E+01
        27   -0.11410E+00   -0.12728E+00   -0.17045E+02    0.22480E+00    0.22499E+01    0.19215E+01
        28   -0.22910E+00   -0.19538E+00   -0.12263E+02    0.12967E+00    0.83030E+00    0.27131E+00
        29   -0.31450E+00   -0.23194E+00   -0.10788E+02    0.23398E+00    0.91370E+00    0.25758E+00
        30   -0.17230E+00   -0.16802E+00   -0.13831E+02    0.13149E+00    0.83180E+00    0.27106E+00
        31   -0.26870E+00   -0.22085E+00   -0.13326E+02    0.15318E+00    0.13803E+01    0.28909E+00
        32   -0.57740E+00   -0.63123E+00   -0.63623E+01    0.91586E-02    0.49956E+01    0.30076E+00
        33   -0.50810E+00   -0.52852E+00   -0.00000E+00    0.17116E+00    0.21809E+01    0.15783E+00
        34   -0.39760E+00   -0.42582E+00   -0.61294E+01    0.22313E-01    0.23054E+01    0.17001E+00
        35   -0.33830E+00   -0.21704E+00   -0.11643E+02    0.22564E+00    0.88170E+00    0.20948E+00
        36   -0.64700E+00   -0.56703E+00   -0.78744E+01    0.64810E-01    0.44292E+01    0.19308E+00
        37   -0.43320E+00   -0.49005E+00   -0.00000E+00    0.16376E+00    0.16724E+01    0.11014E+00
        38   -0.39430E+00   -0.39326E+00   -0.55678E+01    0.75690E-01    0.17208E+01    0.11509E+00
        39   -0.68740E+00   -0.66335E+00   -0.00000E+00    0.10697E+02    0.16335E+01    0.22043E+01
        40   -0.41800E+00   -0.43838E+00   -0.79542E+01    0.61389E+01    0.15158E+01    0.12866E+01
        41   -0.49870E+00   -0.55304E+00   -0.56852E+01    0.28575E-01    0.38760E+01    0.29984E+00
        42   -0.46700E-01    0.20574E-01   -0.24086E+02    0.11733E-01    0.77600E+00    0.27724E+00
        43   -0.63130E+00   -0.57423E+00   -0.76541E+01    0.10181E+00    0.44912E+01    0.23792E+00
